WHO Region,Country Code,WHO Country Name,Location,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),Reference
European Region,ESP,Spain,Brena Baja,2014,4.83,14.47,12.26,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Bunol,2014,5.84,9.78,13.59,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Bunyola,2014,7.87,16.54,5.33,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Buzanada,2014,10.53,26.72,8.96,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Caceres,2014,6.95,12.55,4.59,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Cadaques,2014,6.63,15.86,4.4,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Campisabalos,2014,4.76,8.7,1.84,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Candelaria,2014,5.59,16.93,9.46,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Cardenajimeno,2014,11.4,17.33,11.8,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Castello,2014,8.13,10.84,8.54,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Castillo Del Romeral,2014,7.0,24.72,8.42,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Caudete De Las Fuentes,2014,9.78,14.28,5.18,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Collado Villalba,2014,13.4,28.11,31.11,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Donostia,2014,8.29,19.9,25.27,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Durango,2014,9.16,19.59,24.2,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,El Medano,2014,9.07,21.31,13.12,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,El Rio,2014,6.71,16.82,6.32,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Elda,2014,9.07,13.55,9.81,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Els Torms,2014,7.36,13.0,3.21,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Fortelasa De Isabel Ii,2014,6.21,18.64,4.72,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Galilea,2014,8.93,12.52,6.33,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Gijon,2014,12.19,27.65,25.42,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Igueste De Candelaria,2014,4.75,15.24,7.79,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,L'alcora,2014,7.47,28.0,14.4,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Lalastra,2014,5.86,10.17,6.96,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Langreo,2014,16.11,21.67,16.45,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Las Palmas,2014,4.89,18.24,6.85,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Leon,2014,6.3,17.39,20.13,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Llanes,2014,6.95,16.65,3.82,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Los Realejos,2014,3.53,15.39,10.33,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Lugo,2014,7.44,12.4,7.51,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Lugones,2014,14.25,26.14,24.25,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Madrid,2014,10.62,18.85,33.64,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Oliva De Plasencia,2014,6.17,11.45,6.46,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Ourense,2014,6.47,11.78,15.93,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Pamplona,2014,9.55,16.4,23.55,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Patones,2014,5.88,11.64,3.71,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Pradejon,2014,8.69,20.73,10.7,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Puebla De Sancho Perez,2014,9.87,13.94,4.87,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Puerto Del Rosario,2014,6.19,26.95,9.07,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Quart De Poblet,2014,9.4,16.06,25.21,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Sagunt,2014,8.24,14.58,13.58,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,San Bartolome De Tirajana,2014,8.34,26.34,16.01,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,San Isidro,2014,8.51,19.63,10.14,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,San Pablo De Los Montes,2014,5.36,11.31,2.14,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Sant Feliu De Llobregat,2014,10.13,19.18,23.01,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Santa Cruz De La Palma,2014,4.65,23.87,16.26,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Santa Cruz De Tenerife,2014,6.29,16.6,15.3,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Teguise,2014,6.15,17.54,7.86,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Telde,2014,11.65,23.92,7.52,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Toledo,2014,10.09,21.21,19.32,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Torrejon De Ardoz,2014,9.45,23.37,24.14,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Valdemoro,2014,11.57,23.83,19.69,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Valencia,2014,9.84,16.66,23.74,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Valladolid,2014,9.95,15.45,23.8,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Villalba De Guardo,2014,5.49,8.05,4.29,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Villarejo De Salvanes,2014,11.96,20.08,11.96,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Vitoria-Gasteiz,2014,7.53,18.89,25.06,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Viver,2014,7.19,10.55,6.24,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Viznar,2014,8.71,15.07,4.16,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Zaragoza,2014,11.32,19.08,27.67,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,A Coruna,2015,14.13,25.51,22.73,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Aguimes,2015,8.72,24.23,6.32,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alacant,2015,8.92,18.35,21.22,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alagon,2015,14.28,19.94,21.73,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Albacete,2015,11.21,29.45,11.3,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Albalat Dels Tarongers,2015,7.1,9.43,7.91,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alfaro,2015,6.37,17.94,7.89,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Almassora,2015,7.98,15.9,24.85,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Arrecife,2015,4.56,21.43,8.83,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Arteixo,2015,11.01,27.1,15.5,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Arucas,2015,9.71,24.55,6.66,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,As Pontes De Garcia Rodriguez,2015,8.3,10.99,3.72,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Badajoz,2015,8.45,16.05,5.05,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Balcon De Telde,2015,8.81,44.2,12.08,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Barcelona,2015,17.18,27.94,43.02,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Beasain,2015,8.91,19.48,25.81,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Benicasim,2015,7.03,11.76,11.49,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Brena Baja,2015,6.97,24.1,26.28,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Bunol,2015,6.05,9.24,15.81,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Buzanada,2015,13.65,37.04,8.1,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Caceres,2015,6.72,15.88,9.03,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Cadaques,2015,8.48,17.4,4.3,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Campisabalos,2015,4.82,9.1,2.46,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Candelaria,2015,8.73,25.74,13.4,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Cardenajimeno,2015,10.03,16.54,16.12,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Castello,2015,8.1,11.03,11.18,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Castillo Del Romeral,2015,7.33,30.3,8.07,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Caudete De Las Fuentes,2015,11.08,16.54,6.24,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Donostia,2015,8.48,16.73,24.19,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Durango,2015,11.9,20.31,24.6,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,El Medano,2015,12.66,30.06,15.63,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,El Rio,2015,9.95,26.42,4.42,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Elda,2015,9.29,11.54,7.6,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Els Torms,2015,8.33,14.29,3.58,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Erandio,2015,10.61,19.83,30.76,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Fortelasa De Isabel Ii,2015,7.03,17.97,4.98,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Galilea,2015,8.9,12.7,4.49,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Gijon,2015,11.72,25.88,21.71,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Huesca,2015,11.3,16.24,20.74,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Igueste De Candelaria,2015,8.0,23.43,12.66,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,L'alcora,2015,8.09,25.4,14.16,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Lalastra,2015,6.16,11.48,5.38,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Langreo,2015,19.64,22.14,18.73,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Las Palmas,2015,6.26,22.46,11.01,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Leon,2015,8.22,18.26,23.86,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Llanes,2015,7.05,16.36,5.02,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Lugo,2015,8.37,13.12,7.62,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Lugones,2015,13.67,24.48,20.38,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Madrid,2015,11.47,20.25,38.82,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Oliva De Plasencia,2015,7.03,12.8,9.0,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Oural,2015,10.91,10.79,7.47,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Pamplona,2015,11.23,17.36,21.36,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Patones,2015,5.87,13.09,5.45,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Pradejon,2015,7.4,22.43,8.11,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Puerto Del Rosario,2015,8.31,26.42,8.88,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Puertollano,2015,13.95,30.31,15.41,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Quart De Poblet,2015,10.36,19.47,21.41,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Sagunt,2015,9.48,16.93,10.55,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Salinas,2015,9.53,22.95,14.39,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,San Bartolome De Tirajana,2015,8.89,29.99,15.67,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,San Isidro,2015,8.96,22.29,11.68,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,San Pablo De Los Montes,2015,6.61,13.5,2.82,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,San Sebastian De La Gomera,2015,9.46,25.66,19.46,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Sant Feliu De Llobregat,2015,11.83,22.65,22.32,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Santa Cruz De La Palma,2015,5.78,30.41,15.22,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Santa Cruz De Tenerife,2015,10.69,26.58,18.53,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Santiago De Compostela,2015,7.3,16.49,15.97,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Teguise,2015,6.81,19.32,7.5,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Telde,2015,6.3,30.45,11.12,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Toledo,2015,11.97,24.88,21.59,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Torrejon De Ardoz,2015,9.27,22.08,29.84,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Valencia,2015,12.37,18.67,24.77,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Valladolid,2015,11.22,17.88,26.41,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Vigo,2015,14.87,18.28,22.85,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Villalba De Guardo,2015,6.27,9.5,7.22,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Vitoria-Gasteiz,2015,9.38,16.01,26.96,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Viver,2015,8.07,12.55,8.85,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Viznar,2015,10.34,17.69,5.75,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Zaragoza,2015,12.15,20.8,23.2,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,A Coruna,2016,13.16,23.06,20.2,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Aguimes,2016,7.17,21.77,6.02,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Aia,2016,5.06,12.36,4.49,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alacant,2016,8.8,16.71,21.15,European Environment Agency (downloaded in 2021)
European Region,ESP,Spain,Alagon,2016,11.89,18.2,18.68,European Environment Agency (downloaded in 2021)
